id	countryId	name	type	city	webSite	rateMM	logoId	streamUrl	metadataId	bitRate	streamCodec	streamRespTime
410422	183	Absolute Radio 90s	2		http://www.absoluteradio90s.co.uk	80	0	http://85.159.184.66/;stream.mp3	84182	128	1	552
410424	64	AAZO Radio 90s ***Top 500 Songs*** 128kbps	2		http://stream.aazoradio.com/90-128	75	0	http://77.67.46.73:8000/aazo90-128kbps.mp3	84183	128	1	550
410427	64	Radio Brezhnev	2		http://stv-media.ru/brejnev	75	0	http://91.144.154.150:8000/;stream.mp3	84185	128	1	577
410429	64	90sFM	2		http://90sfm.com	75	0	http://64.150.176.192:8276/;stream.mp3	84186	128	1	570
410436	183	Absolute Radio Extra	2		http://www.absoluteradio.co.uk	75	0	http://85.159.184.242/;stream.mp3	84191	128	1	550
410444	64	AddictedToRadio.com - 90s Pop Hits	2		http://www.radioways.com	75	0	http://208.77.21.13:14010/;stream.mp3	84196	128	1	518
410453	64	DENSOMANIAK RADIO	2		http://densomaniak.com	75	0	http://176.9.23.44:8888/;stream.mp3	84201	128	1	545
410478	64	1.FM - Afterbeat Electronica	2		http://www.1.fm	85	3177	http://209.73.150.68:8250/;stream.mp3	84212	128	1	537
410482	64	Coolfm.eu -Thessaloniki - Greece	2		http://www.coolfm.eu	75	0	http://178.162.134.48:4010/;stream.mp3	84213	128	1	565
410492	64	Loungistas	2		http://www.loungistas.com	75	0	http://176.9.22.6:9000/;stream.mp3	84218	128	1	574
410496	25	ZenFM: ZenFM (MP3)	2		http://www.zenfm.be	95	0	http://91.121.28.98:8010/;stream.mp3	84221	128	1	571
410509	64	(GTM) AmbienT CorBinA RaDiO StatioN	2		http://homenet.corbina.net/index.php?showforum=185	75	0	http://213.234.203.38:8035/;stream.mp3	84229	128	1	589
410515	64	BEAT FM light - Lounge & Chillout - Costa Rica	2		http://www.ritmodigital.net	75	0	http://66.7.218.78:8986/;stream.mp3	84233	128	1	556
410517	64	Powermix FM - Chillout Channel	2		http://www.powermixfmradio.com	75	0	http://85.25.151.137:8050/;stream.mp3	84234	128	1	584
410535	64	Danceradioglobal Chillout	2		http://www.danceradioglobal.com	75	0	http://209.105.243.172:8100/;stream.mp3	84241	128	1	556
410536	64	electro-music.com  StillStream All Ambient	2		http://stillstream.com	80	0	http://184.107.212.194:8500/;stream.mp3	84242	128	1	564
410569	64	UnitedBreaks.FM	2		http://www.unitedbreaks.fm	80	0	http://72.251.193.147:20000/listen.mp3	79685	160	1	513
410583	64	radio amigos lamego	2		http://www.radioamigoslamego.com	75	0	http://88.198.10.119:9002/;stream.mp3	84269	128	1	454
410587	64	WDA1.com: All That Is Good In Dance Music	2		http://www.wda1.com	75	0	http://174.136.62.67:8800/;stream.mp3	84270	128	1	453
410588	64	Hits Brasil  ~ A Mais Tocada Do Publico Jovem	2		http://itrocasoficial.com	75	0	http://70.36.100.78:12852/;stream.mp3	84271	128	1	443
410597	64	Frecuencia Libertador	2		http://www.creamradio	75	0	http://65.60.52.122:8652/;stream.mp3	84274	128	1	724
410599	228	MiX FM Ukraine (192K)	2		http://www.mixfm.com.ua	75	0	http://194.54.80.22:8192/;stream.mp3	84276	128	1	516
410600	64	1.FM - FTV Radio	2		http://www.1.fm	75	3177	http://209.73.150.68:5070/;stream.mp3	84277	128	1	431
410601	172	>>> POLSKASTACJA .PL >>> - Premiery i Nowosci Muzyczne (Polskie Radio)	2		http://www.polskastacja.pl	75	125753	http://87.98.236.75:3910/;stream.mp3	84278	128	1	421
410603	64	Canal7	2		http://www.canal7.net	75	0	http://62.233.61.7:8002	84280	128	1	439
410607	64	Fusion Radio.  The Future of Dance	2		http://www.fusionradio.fm	95	0	http://65.60.34.34:8004/;stream.mp3	84282	128	1	400
410608	228	MiX FM Ukraine (128K)	2		http://www.mixfm.com.ua	75	0	http://194.54.80.22:8128/;stream.mp3	84283	128	1	400
410615	172	Polskastacja - Przeboje Na Lato (Polskie Radio)	2		http://www.polskastacja.pl	75	125753	http://91.121.165.51:2010/;stream.mp3	84286	128	1	433
410622	64	AddictedToRadio.com - Altered State	2		http://AddictedToRadio.com	75	0	http://208.77.21.13:12910/;stream.mp3	84289	128	1	213
410625	240	USCE Shopping radio powered by Naxi	2		http://www.naxi.rs	75	0	http://109.206.96.18:8000/;stream.mp3	84290	128	1	434
410626	64	1.FM - FTV Radio	2		http://www.1.fm	75	3177	http://72.13.83.76:9070/;stream.mp3	84291	128	1	474
410634	170	Soulmovement	2		http://www.soulmovement.nl	75	0	http://31.25.99.20:8001/;stream.mp3	84295	128	1	425
410638	64	Radio Portugal Emigrante	2		http://www.radioportugalemigrante.com	75	0	http://88.198.10.120:7044/;stream.mp3	84298	128	1	407
410645	64	Corbina Radio: BigBeat Radio	2		http://www.discofox-hithaus.com	80	0	http://85.21.79.93:9056/;stream.mp3	84300	128	1	425
410646	64	Switch 1197 - Brisbane's Youth Alternative	2		http://www.switch1197.com	75	0	http://96.44.167.179:9462/;stream.mp3	84301	128	1	418
410648	64	Watford's Vibe 107.6	1		http://www.vibe1076.com	75	0	http://109.200.2.91:8014/;stream.mp3	84303	128	1	464
410649	64	Powermix FM - Trance Channel	2		http://www.powermixfmradio.com	75	0	http://85.25.151.137:8005/;stream.mp3	84304	128	1	424
410650	182	radio Wish	2		http://www.RadioWish.ro	95	0	http://195.60.77.201:6200/;stream.mp3	84305	128	1	432
410652	182	Radio Party Dance - mp3	2		http://www.radioparty.ro	85	0	http://46.108.143.244:9000/;stream.mp3	84306	128	1	441
410656	5	Radio-Mega4u -AllHitsRadio-	2		http://www.radio-mega4u.de	75	0	http://78.47.187.174:8000/;stream.mp3	84307	128	1	433
410657	5	Radio Schlagertempel -  Schlager, Popschlager, Discofox, Top100 & Oldies vom feinsten!! Hitparade Radio Schlagertempel	2		http://www.radio-schlagertempel.de	95	0	http://87.118.78.50:8300/;stream.mp3	84308	128	1	446
410665	64	EuroHIT CorBinA RaDiO StatioN	2		http://homenet.corbina.net/index.php?showforum=724	75	0	http://85.21.64.4:8050/;stream.mp3	84311	128	1	229
410668	25	TOPradio (MP3)	2		http://www.topradio.be	95	0	http://87.238.175.214:8010/;stream.mp3	84313	128	1	278
410674	5	Megastad FM 93.9	1		http://www.sunray-fm.de	75	0	http://91.192.10.5:8004/;stream.mp3	84315	128	1	413
410677	5	FoxPalast - live mit Rico	2		http://www.Foxpalast.de	75	0	http://46.163.124.15:31726/;stream.mp3	84316	128	1	401
410679	87	Ozone FM 103,1 - HQ Stream - www.o3.hu	1		http://www.O3.hu	75	0	http://195.56.193.90:8610/;stream.mp3	84317	128	1	415
410682	64	Radio Flo - Dance	2		http://www.radioflo.eu	85	0	http://159.253.145.178:7060/;stream.mp3	84318	128	1	430
410684	64	PopSchlagerRadio.com	2		http://www.PopSchlagerRadio.com	95	0	http://212.227.141.114:2500/;stream.mp3	84319	128	1	430
410687	5	RADIO FLENSBURG - Top 100 Hits, Charts, News und mehr aus dem Norden (Schleswig-Holstein - Deutschland - Germany)	2		http://www.radio-flensburg.de	75	0	http://46.4.76.199:10885/;stream.mp3	84320	128	1	258
410695	64	AddictedToRadio.com - Trance Channel	2		http://AddictedToRadio.com	75	0	http://208.77.21.13:13610/;stream.mp3	84324	128	1	231
410697	111	KISS FM (Dublin)	2		http://www.kissfm.ie	75	0	http://173.192.22.204:8028/;stream.mp3	84326	128	1	551
410698	64	AddictedToRadio.com - Electro House	2		http://AddictedToRadio.com	75	0	http://208.77.21.13:13210/;stream.mp3	84327	128	1	546
410700	5	2NE1 Clubsound Radio	2		http://www.2ne1.de	75	0	http://178.77.125.82:33746/;stream.mp3	84328	128	1	540
410704	183	PsyMusic UK (::) Psytrance, Progressive, Darkpsy, chillout and more . . . request a track on our site	2		http://www.psymusic.co.uk/forum/pages/radio	75	0	http://91.121.122.118:8010/;stream.mp3	84330	128	1	538
410706	64	Space Ibiza Radio	2		http://www.spaceibiza.com	75	0	http://46.105.114.134:8000/;stream.mp3	84332	128	1	532
410709	5	basslover.de	2		http://www.basslover.de	80	0	http://88.80.202.112:9000/;stream.mp3	84333	128	1	578
410710	67	BEST DANCE RADIO - Vibrez au son Dance - Live from Lyon, France	2		http://www.bestdance.best-hits.fr	75	0	http://188.165.99.157:7420/;stream.mp3	84334	128	1	536
410711	64	Loca Fm Live Web	2		http://www.locafm.com	95	0	http://46.105.117.210:23500/;stream.mp3	84335	128	1	497
410712	5	RadioFeigling.fm	2		http://www.RadioFeigling.de	80	0	http://62.75.146.118:8000/;stream.mp3	84336	128	1	531
410716	34	Radio animesPLUS - O Melhor da musica no Melhor da Internet	2		http://animesplus.com.br	95	0	http://76.73.80.34:9997/;stream.mp3	84337	128	1	513
410719	64	RadioDST	2		http://RadioDST	75	0	http://89.45.194.20:8000/;stream.mp3	84338	128	1	508
410726	184	Ekoradio online	2		http://www.ekoradio.ru	75	0	http://109.198.108.42:8000/;stream.mp3	84344	128	1	518
410728	64	Hit Station.fm One | Dance Pop Top40 | www.hitstation.fm	2		http://www.hitstation.fm	95	0	http://80.237.157.97:8400/;stream.mp3	84346	128	1	529
410729	64	ASSK Radio Online	2		http://www.asskradio.com	75	0	http://64.150.176.9:8283/;stream.mp3	84347	128	1	539
410731	64	AddictedToRadio.com - Merengue	2		http://AddictedToRadio.com	75	0	http://208.77.21.13:17010/;stream.mp3	84348	128	1	566
410733	64	BeatdanceFM - Charts, Trance, Dance, Minimal, Techno	2		http://www.beatdance.fm	85	0	http://87.118.78.71:13000/;stream.mp3	84349	128	1	787
410734	170	EclecticRadio | House & Dance Radio	2		http://www.eclecticradio.nl	85	0	http://91.198.106.125:8012/;stream.mp3	84350	128	1	558
410737	5	PULS FM - Pure Dance Radio!	2		http://www.pulsfm.de	95	0	http://87.230.82.41/;stream.mp3	84352	128	1	461
410742	64	Disco-Fox-Radio	2		http://www.disco-fox-radio.com	75	0	http://217.79.178.222:8000/;stream.mp3	84354	128	1	554
410743	64	MEGAFREE MUSIC WEB RADIO	2		http://www.megafreemusic.net	95	0	http://216.59.16.68:8048/;stream.mp3	84355	128	1	529
410749	64	WHMSonic AutoDJ	2		http://customer.com/radiostatus	75	0	http://184.107.133.34:9784/;stream.mp3	84356	128	1	503
410793	64	Radio Iubire Fm Romania	2		http://www.radioiubire.net	90	0	http://89.45.194.55:7070/;stream.mp3	84364	128	1	503
410808	64	.: Ema Osijek :. Cajkoteka :.	2		http://www.radioways.com	75	0	http://91.121.203.197:9418/;stream.mp3	84369	128	1	599
410816	134	(((KaryaFM[>Dunia Karya Penghibur Anda)))	2		http://www.karyaFM.my	95	0	http://69.197.60.124:8000/;stream.mp3	84373	128	1	576
410849	64	askyelifm.com  -  Auto-DJ    ( Play List )	2		http://www.askyelifm.com	95	0	http://80.243.191.237:8444/;stream.mp3	84383	128	1	607
410895	64	Radio Cimbuak	2		http://s5.voscast.com:7094	80	0	http://96.44.147.234:7094/;stream.mp3	84394	128	1	477
410903	64	CM23 RADIO	2		http://www.radioways.com/fr/radio/cm23-radio.html	75	0	http://96.44.147.234:7304/;stream.mp3	84399	64	1	481
410905	64	Skype: BaHKoTo - http://vanko.g00net.org - Retro Radio	2		http://vanko.g00net.org	75	0	http://77.71.126.100:3000/;stream.mp3	84401	128	1	465
410916	64	the groove - disco, funk & soul [128k]	2		http://thegroove-radio.biz	75	0	http://50.7.243.50:8034/;stream.mp3	84407	128	1	462
410918	172	STOP ACTA	2		http://radiodiscopolo.dbv.pl	75	0	http://188.165.220.98:7150/;stream.mp3	84408	128	1	467
410923	64	Oi Anamniseis Mas Web Radio	2		http://www.oianamniseismas.com	80	0	http://176.9.39.43:7000/;stream.mp3	84409	128	1	478
410949	170	(((((   discoFM .nl   )))))    24/7 BEST IN 70S DISCO & 80S DANCE (LIVE!)	2		http://www.discofm.nl	75	0	http://91.213.69.222:40039/;stream.mp3	84419	128	1	507
410957	64	FunnyJukeBox.com ** Wir haben den Sound **	2		http://www.FunnyJukeBox.com	75	0	http://87.118.119.128:12810/;stream.mp3	84422	128	1	533
410968	64	Entranced.FM - A Chilled Mix of Ambient, Trance & World with Chat & Automated Requests	2		http://entranced.fm	80	0	http://173.192.32.197/;stream.mp3	84428	128	1	552
410989	64	DruM and BasS CorBinA RaDiO StatioN	2		http://homenet.corbina.net/index.php?showforum=181	75	0	http://213.234.203.38:8015/;stream.mp3	84434	128	1	524
411006	64	Drumnbassradio.com :: 24/7 Upfront Drum and Bass ::	2		http://www.drumnbassradio.com	75	0	http://173.193.219.163:8545/;stream.mp3	84439	128	1	461
411008	64	Bassjunkees.com - Drum & Bass, Oldskool, Jungle & Dubstep 24/7 - Once Locked Addicted for Life!	2		http://bassjunkees.com	80	0	http://88.190.241.226:8442/;stream.mp3	84440	128	1	447
411009	5	ToXoRs minimalRADIO	2		http://criminimal.de	75	0	http://85.214.22.176:8000/;stream.mp3	84441	128	1	499
411012	64	1.FM - Club!	2		http://www.1.fm	95	3177	http://209.73.150.68:8060/;stream.mp3	84443	128	1	477
411028	67	Decibel Station - 24/24 House Dance Electro Techno Minimal Progressive music and MORE - Webradio From France	2		http://www.decibel-station.fr	75	0	http://87.98.178.31:9000/;stream.mp3	84449	128	1	472
411057	183	HOUSE FREAKS Channel 2 Funky House, Electro, Oldskool House, Progressive House. Breakbeat, Trance	2		http://www.housefreaks.co.UK	75	0	http://31.3.250.130:8060/;stream.mp3	84460	128	1	538
411078	64	MaxFm	2		http://www.radio-maxfm.com	75	0	http://188.165.99.157:6390/;stream.mp3	84470	128	1	482
